;region;district;blr_name;rus_name;id;latitude;longtitude
259;Брэсцкая;Брэсцкі;Навасады;Новосады;242979798;51.7064939;23.7539685
260;Брэсцкая;Брэсцкі;Падлужжа;Подлужье;242979257;51.7196;23.57211
261;Брэсцкая;Брэсцкі;Рудня;Рудня;242979263;51.7368156;23.6753427
262;Брэсцкая;Брэсцкі;Чэрск;Черск;242979271;51.7116732;23.6954499
263;Брэсцкая;Брэсцкі;Шыкілі;Шикили;242979265;51.72809;23.57606
264;Брэсцкая;Брэсцкі;Альха;Ольха;242979282;51.8437551;23.629835
265;Брэсцкая;Брэсцкі;Белае Возера;Белое Озеро;2798093298;51.8205853;23.7007445
266;Брэсцкая;Брэсцкі;Бярэсце;Берестье;2798100107;51.8312539;23.7251192
267;Брэсцкая;Брэсцкі;Дубрава;Дубрава;242979995;51.8778939;23.8177756
268;Брэсцкая;Брэсцкі;Збунін;Збунин;242979276;51.83006;23.65193
269;Брэсцкая;Брэсцкі;Знаменка;Знаменка;242979287;51.87907;23.65786
270;Брэсцкая;Брэсцкі;Лясны;Лесной;2798099458;51.8159557;23.6601776
271;Брэсцкая;Брэсцкі;Медна;Медна;242979757;51.8623151;23.7483215
272;Брэсцкая;Брэсцкі;Рагозна;Рогозно;242979765;51.82423;23.79253
273;Брэсцкая;Брэсцкі;Кацельня Баярская;Котельня Боярская;242979429;52.15751;23.5292637
274;Брэсцкая;Брэсцкі;Клейнікі;Клейники;242979412;52.1392901;23.6097466
275;Брэсцкая;Брэсцкі;Костычы;Костычи;1400613283;52.1544255;23.5585591
276;Брэсцкая;Брэсцкі;Нэплі;Непли;242979435;52.1401481;23.5505172
277;Брэсцкая;Брэсцкі;Пяскі;Пяски;242979439;52.15253;23.59151
278;Брэсцкая;Брэсцкі;Церабунь;Теребунь;242979405;52.16944;23.52593
279;Брэсцкая;Брэсцкі;Шумакі;Шумаки;242979444;52.1615912;23.5404655
280;Брэсцкая;Брэсцкі;Агароднікі;Огородники;242979521;52.28754;23.52448
281;Брэсцкая;Брэсцкі;Астрамечава;Остромечево;242979346;52.26668;23.58516
282;Брэсцкая;Брэсцкі;Вялікія Шчытнікі;Великие Щитники;242979138;52.24917;23.46156
283;Брэсцкая;Брэсцкі;Кашылава;Кошилово;242979391;52.25209;23.62009
284;Брэсцкая;Брэсцкі;Кустын;Кустын;242979107;52.2736979;23.492721
285;Брэсцкая;Брэсцкі;Лышчыцы;Лыщицы;242979387;52.25973;23.53684
286;Брэсцкая;Брэсцкі;Люта;Люта;242979124;52.299357;23.4837471
287;Брэсцкая;Брэсцкі;Малыя Зводы;Малые Зводы;242979125;52.3074583;23.4753798
288;Брэсцкая;Брэсцкі;Малыя Сухарэвічы;Малые Сухаревичи;242979380;52.24505;23.64198
289;Брэсцкая;Брэсцкі;Малыя Шчытнікі;Малые Щитники;242979134;52.23544;23.49632
290;Брэсцкая;Брэсцкі;Марозавічы;Морозовичи;242979518;52.29397;23.52739
291;Брэсцкая;Брэсцкі;Новыя Лышчыцы;Новые Лыщицы;242979132;52.26033;23.50044
292;Брэсцкая;Брэсцкі;Пагубяцічы;Погубятичи;242979136;52.2780319;23.4011451
293;Брэсцкая;Брэсцкі;Рудавец;Рудавец;242979527;52.2954156;23.594838
294;Брэсцкая;Брэсцкі;Сегянеўшчына;Сегеневщина;242979127;52.28419;23.42895
295;Брэсцкая;Брэсцкі;Цюпрыкі;Цюприки;242979501;52.2874563;23.5770912
296;Брэсцкая;Брэсцкі;Яцкавічы;Яцковичи;242979109;52.2592729;23.4206847
297;Брэсцкая;Брэсцкі;Баброўцы;Бобровцы;242979448;52.1548088;23.645011
298;Брэсцкая;Брэсцкі;Вельямовічы;Вельямовичи;242979145;52.222679;23.4380121
299;Брэсцкая;Брэсцкі;Вялікая Ракавіца;Великая Раковица;242979129;52.214399;23.5104885
300;Брэсцкая;Брэсцкі;Вялікія Матыкалы;Великие Мотыкалы;242979360;52.1963843;23.5846953
301;Брэсцкая;Брэсцкі;Галачова;Галачёво;242979111;52.1884645;23.465818
