Вобласць;Раён;Назва без націскаў;Назва па-расейску;osm:Node ID
Брэсцкая;Баранавіцкі;Ішкалдзь;Ишколдь;242995954
Брэсцкая;Баранавіцкі;Петкавічы;Петковичи;242995963
Брэсцкая;Баранавіцкі;Родкавічы;Родковичи;242995956
Брэсцкая;Баранавіцкі;Гацішча;Гатище;242992399
Брэсцкая;Баранавіцкі;Дамашэвічы;Домашевичи;242992545
Брэсцкая;Баранавіцкі;Загор’е;Загорье;242994483
Брэсцкая;Баранавіцкі;Заполле;Заполье;242992557
Брэсцкая;Баранавіцкі;Кастрычніцкі;Костричницкий;3207149139
Брэсцкая;Баранавіцкі;Навікі;Новики;242992560
Брэсцкая;Баранавіцкі;Палянічыцы;Поленичицы;242992572
Брэсцкая;Баранавіцкі;Сталовічы;Столовичи;242994555
Брэсцкая;Баранавіцкі;Судары;Судари;242994480
Брэсцкая;Баранавіцкі;Торчыцы;Торчицы;242994465
Брэсцкая;Баранавіцкі;Цюкантавічы;Тюкантовичи;242992569
Брэсцкая;Баранавіцкі;Багушы;Богуши;242992229
Брэсцкая;Баранавіцкі;Кадычыцы;Кадычицы;242992218
Брэсцкая;Баранавіцкі;Навасады;Новосады;242992215
Брэсцкая;Баранавіцкі;Рагозніца;Рогозница;242992221
Брэсцкая;Баранавіцкі;Уцёс;Утёс;242992296
Брэсцкая;Баранавіцкі;Белалессе;Белолесье;242991708
Брэсцкая;Баранавіцкі;Забалацце;Заболотье;242991728
Брэсцкая;Баранавіцкі;Лебяжаны;Лебежаны;242992536
Брэсцкая;Баранавіцкі;Люшнева;Люшнево;242991684
Брэсцкая;Баранавіцкі;Першамайскі;Першемайский;2798433876
Брэсцкая;Баранавіцкі;Старая Мыш;Старая Мышь;242992528
Брэсцкая;Баранавіцкі;Цешаўле;Тешевле;242991705
Брэсцкая;Баранавіцкі;Цюхнявічы;Тюхневичи;242991710
Брэсцкая;Баранавіцкі;Шпакоўцы;Шпаковцы;242991693
Брэсцкая;Брэсцкі;Дамачава;Домачево;242978994
Брэсцкая;Брэсцкі;Багданы;Богданы;242979268
Брэсцкая;Брэсцкі;Барысы;Борисы;242979248
Брэсцкая;Брэсцкі;Гута;Гута;242979789
Брэсцкая;Брэсцкі;Дамброўка;Домбровка;242979273
Брэсцкая;Брэсцкі;Дубіца;Дубица;242979285
Брэсцкая;Брэсцкі;Дубіца;Дубица;2814763213
Брэсцкая;Брэсцкі;Дубок;Дубок;242979803
Брэсцкая;Брэсцкі;Кабёлка;Кобёлка;242979251
Брэсцкая;Брэсцкі;Ліпінкі;Липинки;242979254
Брэсцкая;Брэсцкі;Ляплёўка;Леплёвка;242979278
Брэсцкая;Брэсцкі;Навасады;Новосады;242979798
Брэсцкая;Брэсцкі;Падлужжа;Подлужье;242979257
Брэсцкая;Брэсцкі;Рудня;Рудня;242979263
Брэсцкая;Брэсцкі;Чэрск;Черск;242979271
Брэсцкая;Брэсцкі;Шыкілі;Шикили;242979265
Брэсцкая;Брэсцкі;Альха;Ольха;242979282
Брэсцкая;Брэсцкі;Белае Возера;Белое Озеро;2798093298
Брэсцкая;Брэсцкі;Бярэсце;Берестье;2798100107
Брэсцкая;Брэсцкі;Дубрава;Дубрава;242979995
Брэсцкая;Брэсцкі;Збунін;Збунин;242979276
Брэсцкая;Брэсцкі;Знаменка;Знаменка;242979287
Брэсцкая;Брэсцкі;Лясны;Лесной;2798099458
Брэсцкая;Брэсцкі;Медна;Медна;242979757
Брэсцкая;Брэсцкі;Рагозна;Рогозно;242979765
Брэсцкая;Брэсцкі;Кацельня Баярская;Котельня Боярская;242979429
Брэсцкая;Брэсцкі;Клейнікі;Клейники;242979412
Брэсцкая;Брэсцкі;Костычы;Костычи;1400613283
Брэсцкая;Брэсцкі;Нэплі;Непли;242979435
Брэсцкая;Брэсцкі;Пяскі;Пяски;242979439
Брэсцкая;Брэсцкі;Церабунь;Теребунь;242979405
Брэсцкая;Брэсцкі;Шумакі;Шумаки;242979444
Брэсцкая;Брэсцкі;Агароднікі;Огородники;242979521
Брэсцкая;Брэсцкі;Астрамечава;Остромечево;242979346
Брэсцкая;Брэсцкі;Вялікія Шчытнікі;Великие Щитники;242979138
Брэсцкая;Брэсцкі;Кашылава;Кошилово;242979391
Брэсцкая;Брэсцкі;Кустын;Кустын;242979107
Брэсцкая;Брэсцкі;Лышчыцы;Лыщицы;242979387
Брэсцкая;Брэсцкі;Люта;Люта;242979124
Брэсцкая;Брэсцкі;Малыя Зводы;Малые Зводы;242979125
Брэсцкая;Брэсцкі;Малыя Сухарэвічы;Малые Сухаревичи;242979380
Брэсцкая;Брэсцкі;Малыя Шчытнікі;Малые Щитники;242979134
Брэсцкая;Брэсцкі;Марозавічы;Морозовичи;242979518
Брэсцкая;Брэсцкі;Новыя Лышчыцы;Новые Лыщицы;242979132
Брэсцкая;Брэсцкі;Пагубяцічы;Погубятичи;242979136
Брэсцкая;Брэсцкі;Рудавец;Рудавец;242979527
Брэсцкая;Брэсцкі;Сегянеўшчына;Сегеневщина;242979127
Брэсцкая;Брэсцкі;Цюпрыкі;Цюприки;242979501
Брэсцкая;Брэсцкі;Яцкавічы;Яцковичи;242979109
Брэсцкая;Брэсцкі;Баброўцы;Бобровцы;242979448
Брэсцкая;Брэсцкі;Вельямовічы;Вельямовичи;242979145
Брэсцкая;Брэсцкі;Вялікая Ракавіца;Великая Раковица;242979129
Брэсцкая;Брэсцкі;Вялікія Матыкалы;Великие Мотыкалы;242979360
Брэсцкая;Брэсцкі;Галачова;Галачёво;242979111
Брэсцкая;Брэсцкі;Заполле;Заполье;242979512
Брэсцкая;Брэсцкі;Збарамірава;Зборомирово;242979372
Брэсцкая;Брэсцкі;Кавярдзякі;Ковердяки;242979409
Брэсцкая;Брэсцкі;Малая Ракавіца;Малая Раковица;242979128
Брэсцкая;Брэсцкі;Малыя Матыкалы;Малые Мотыкалы;242979353
Брэсцкая;Брэсцкі;Матыкалы;Мотыкалы;242979368
Брэсцкая;Брэсцкі;Нехалсты;Нехолсты;242979383
Брэсцкая;Брэсцкі;Скокі;Скоки;242979441
Брэсцкая;Брэсцкі;Ставішча;Ставище;242979431
Брэсцкая;Брэсцкі;Старое Сяло;Старое Село;242979450
Брэсцкая;Брэсцкі;Сычы;Сычи;242979108
Брэсцкая;Брэсцкі;Цюхінічы;Тюхиничи;242979401
Брэсцкая;Брэсцкі;Чыжэвічы;Чижевичи;242979110
Брэсцкая;Брэсцкі;Чылеева;Чилеево;242979130
Брэсцкая;Брэсцкі;Ваўкі;Волки;242980781
Брэсцкая;Брэсцкі;Вулька Застаўская;Вулька Заставская;1808905786
Брэсцкая;Брэсцкі;Гулі;Гули;242980800
Брэсцкая;Брэсцкі;Забалацце;Заболотье;242979959
Брэсцкая;Брэсцкі;Закій;Закий;242979965
Брэсцкая;Брэсцкі;Заслучна;Заслучно;242979982
Брэсцкая;Брэсцкі;Камяніца Жыравецкая;Каменица Жировецкая;242979971
Брэсцкая;Брэсцкі;Лазы;Лозы;242980751
Брэсцкая;Брэсцкі;Літвіны;Литвины;242980783
Брэсцкая;Брэсцкі;Мухавец;Мухавец;242979989
Брэсцкая;Брэсцкі;Падлессе Камянецкае;Подлесье Каменецкое;2798103055
Брэсцкая;Брэсцкі;Падлессе Радваніцкае;Подлесье Радваничское;242980815
Брэсцкая;Брэсцкі;Сямісосны;Семисосны;242980792
Брэсцкая;Брэсцкі;Херма;Херма;1661242412
Брэсцкая;Брэсцкі;Вялікія Радванічы;Великие Радваничи;242980821
Брэсцкая;Брэсцкі;Малыя Радванічы;Малые Радваничи;242980824
Брэсцкая;Брэсцкі;Міхалін;Михалин;242980812
Брэсцкая;Брэсцкі;Франопаль;Франополь;242980789
Брэсцкая;Брэсцкі;Заказанка;Заказанка;242979422
Брэсцкая;Брэсцкі;Прылукі;Прилуки;242979998
Брэсцкая;Брэсцкі;Страдзеч;Страдечь;242979291
Брэсцкая;Брэсцкі;Камароўка;Комаровка;242979327
Брэсцкая;Брэсцкі;Орхава;Орхово;242979330
Брэсцкая;Брэсцкі;Прыбарава;Приборово;242979333
Брэсцкая;Брэсцкі;Рыцец;Рытец;242979320
Брэсцкая;Брэсцкі;Селяхі;Селяхи;242979336
Брэсцкая;Брэсцкі;Тамашоўка;Томашовка;242979323
Брэсцкая;Брэсцкі;Харсы;Харсы;242979339
Брэсцкая;Брэсцкі;Булькова;Бульково;
Брэсцкая;Брэсцкі;Буякі;Буяки;242981110
Брэсцкая;Брэсцкі;Вочкі;Очки;242981119
Брэсцкая;Брэсцкі;Кошалева;Кошелево;242979909
Брэсцкая;Брэсцкі;Лідымо;Лидымо;242981104
Брэсцкая;Брэсцкі;Малыя Косічы;Малые Косичи;2561705638
Брэсцкая;Брэсцкі;Смолін;Смолин;242980209
Брэсцкая;Брэсцкі;Тэльмы 1;Тельмы 1;242979945
